ID,Name,Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
1272,Christopher Gonzalez,18,Female,Jonathanshire,12th,0.9,7.1,76,0,1.3,2,8,2,1,0.3,37,19,2.9,3.0,0.3,Education,3,8.3,7.8
2924,Donna Woodard,13,Other,Lake Davidbury,9th,6.0,10.0,90,5,1.7,7,9,1,1,1.0,88,17,2.1,3.1,0.5,Other,6,8.0,10.0
1581,Carrie Burnett,13,Other,Franklinmouth,8th,0.9,7.9,67,1,0.9,2,2,4,0,1.4,62,11,3.1,0.0,1.8,Other,9,4.2,3.5
1208,Meghan Jackson,17,Male,Walkertown,9th,3.9,5.8,55,5,0.9,5,8,10,0,0.0,132,11,1.8,0.4,1.2,Browsing,7,4.5,8.0
213,Adam Turner,16,Other,New Vincent,11th,6.1,7.5,71,10,0.6,7,10,4,0,1.5,39,20,1.8,1.9,2.6,Education,9,5.8,10.0
13,Sarah Nguyen,19,Female,South Heatherton,10th,7.4,5.8,70,4,0.6,4,9,3,0,1.1,59,19,4.3,0.4,0.4,Gaming,8,9.1,10.0
2973,Andrew Gutierrez,17,Male,Smithside,12th,6.0,5.6,98,3,1.3,9,6,2,0,0.8,113,7,2.2,0.4,0.3,Browsing,10,7.4,9.5
423,Debbie Thompson,17,Other,Martinezborough,8th,6.3,5.0,74,10,0.1,8,8,9,0,0.4,24,9,1.8,0.7,0.6,Browsing,2,7.9,8.6
1689,Cynthia Burton,15,Female,Johnton,12th,4.9,5.7,88,3,0.7,10,10,5,1,0.5,36,12,3.0,3.4,0.7,Social Media,2,6.0,10.0
1780,Elizabeth Moon,16,Male,North Susan,12th,6.1,7.9,51,10,0.3,10,5,10,0,1.2,127,5,0.9,2.7,1.6,Education,3,3.9,9.3
2640,Ruth Kim,15,Male,Cookmouth,12th,5.1,4.9,59,5,0.0,9,4,6,1,0.9,20,18,2.8,0.3,2.3,Social Media,3,4.5,9.8
2320,Joseph Ross,18,Female,Port Christopherbury,7th,6.7,8.0,50,8,2.4,4,10,3,1,1.3,141,17,2.3,1.7,0.4,Social Media,8,4.6,10.0
638,James Sullivan,13,Male,West Austinchester,7th,5.1,5.5,80,10,1.7,6,6,6,1,0.9,77,6,3.7,1.2,1.0,Browsing,2,4.8,10.0
1279,Andrew Meyers,19,Other,Lewischester,7th,7.0,4.8,57,7,1.3,3,8,2,0,0.9,82,19,2.5,0.4,0.0,Browsing,7,6.6,10.0
1641,Denise Ortiz,13,Female,Ochoamouth,10th,4.9,5.5,92,10,0.3,9,6,6,0,1.7,139,9,3.8,1.8,1.4,Browsing,4,5.8,10.0
510,Charles Jackson,13,Other,Christopherberg,8th,7.2,7.5,93,8,0.3,1,3,6,1,0.4,55,6,1.9,3.1,1.1,Education,5,1.2,10.0
598,Kenneth Rios,18,Male,Sierraville,12th,8.0,7.5,76,5,0.0,2,4,3,1,0.6,83,9,3.4,1.3,0.7,Social Media,8,5.9,10.0
2713,Whitney Thompson,17,Other,West Benjaminview,12th,2.3,7.2,55,10,1.2,5,7,4,0,0.1,141,6,3.6,2.4,1.6,Gaming,8,5.8,8.7
2635,Joseph Davis,19,Male,Port Nathan,10th,4.1,5.2,78,5,1.1,4,1,8,1,1.8,110,19,2.9,2.7,1.2,Education,3,3.1,10.0
2365,Lisa Bowman,13,Female,West Emily,9th,7.1,7.6,63,1,1.9,8,4,5,0,1.5,115,19,2.8,3.1,1.6,Education,10,0.3,10.0
2644,Ann Adams,14,Female,Marcburgh,10th,5.3,6.3,51,0,1.4,1,8,7,0,0.8,20,10,1.0,0.0,0.1,Other,8,6.6,5.5
519,Rhonda Craig,13,Female,Rodriguezfurt,10th,0.0,6.7,66,8,1.9,2,6,5,1,0.7,122,7,3.6,1.7,1.3,Browsing,3,7.3,5.8
2794,Ashley Jones,15,Female,South Jessicatown,7th,6.6,4.9,95,9,1.6,2,7,6,1,1.8,86,11,0.4,1.7,1.4,Other,8,7.1,10.0
574,Michelle Sweeney,13,Female,West Caitlynview,7th,6.7,6.6,68,5,0.1,3,3,5,1,1.4,134,14,2.6,2.0,1.6,Other,8,4.8,10.0
2726,Cynthia Sanchez,17,Female,East Lori,8th,5.6,5.0,78,9,1.3,4,4,10,0,0.4,22,13,0.8,1.3,1.6,Gaming,8,5.2,8.2
1098,Jordan Lowe,18,Other,Port Donaldview,8th,7.2,9.1,71,0,0.0,1,7,8,1,1.5,47,16,2.3,1.6,1.5,Education,5,6.6,10.0
1948,Kimberly Wells,16,Female,Carterside,10th,8.0,8.5,51,5,1.5,8,7,6,0,0.3,68,14,1.7,1.7,1.4,Browsing,9,9.0,10.0
1449,Jesse Burch,13,Female,South Lorichester,10th,5.9,4.4,73,5,0.2,10,1,6,0,1.0,94,10,3.4,1.1,0.9,Browsing,4,8.9,10.0
1585,Trevor Cook,18,Female,Sheilahaven,11th,1.4,7.4,55,5,1.3,9,2,3,1,0.9,73,19,1.9,0.5,0.4,Social Media,9,7.2,5.4
2597,Maria Maddox,18,Male,North Terri,9th,4.4,6.6,63,7,0.0,10,10,5,1,0.3,136,6,3.1,3.5,0.0,Browsing,4,5.4,10.0
965,Roberta Hoover,16,Other,Jamesshire,9th,4.0,6.7,57,10,1.0,9,10,9,1,1.1,123,20,3.9,1.5,0.0,Education,9,7.7,10.0
1019,Joseph Brown,15,Female,New Nicholas,7th,3.5,5.5,62,8,1.2,8,4,8,1,0.2,125,9,2.5,2.3,1.9,Education,2,4.5,9.9
2909,Pamela Mendoza,19,Other,Beckfurt,11th,5.0,6.3,78,4,1.1,9,6,10,0,1.6,111,12,2.6,0.0,0.6,Social Media,2,4.7,9.1
359,Richard Wilson,18,Female,Markbury,7th,4.6,6.6,99,3,1.7,5,4,7,1,0.9,43,5,3.2,0.5,2.5,Browsing,10,2.5,6.9
737,Jerry Taylor,15,Male,North Ericland,12th,5.2,8.2,91,9,0.4,6,7,7,1,1.0,91,8,1.8,0.0,1.0,Other,6,6.1,6.3
1785,Stephanie Campbell,13,Other,Phillipsport,7th,4.5,9.8,59,10,0.9,6,8,7,0,0.9,39,18,2.2,1.6,1.6,Education,2,5.7,7.8
1609,Maureen Chapman,14,Other,Emilyton,12th,3.7,8.3,93,7,0.8,9,5,1,0,1.5,28,9,4.1,0.2,2.6,Gaming,5,3.7,6.2
260,Maria Mendez,14,Female,Shawnfurt,11th,3.4,8.4,72,10,1.5,6,10,1,0,1.0,32,15,2.6,1.4,2.2,Education,10,2.8,6.8
2772,Jonathon Horton,13,Male,South Taylortown,12th,4.7,7.5,83,9,0.9,4,1,7,1,0.9,149,11,1.7,2.5,0.1,Gaming,10,7.6,10.0
2643,Jade Burns,14,Other,New Brittanyhaven,8th,5.0,8.8,72,1,0.5,5,8,10,0,0.5,69,20,3.0,2.2,0.0,Social Media,7,4.1,10.0
2743,David Vazquez PhD,18,Female,Phillipsburgh,7th,1.4,4.5,66,7,0.4,8,10,1,1,2.1,113,17,2.7,2.5,1.0,Social Media,9,7.7,10.0
2384,William Mills,14,Other,Port Deborahhaven,12th,2.9,6.6,75,10,2.0,7,1,3,0,0.9,118,17,4.5,1.6,0.8,Social Media,2,5.3,10.0
1030,Jasmin Moran,17,Female,Lake Lori,7th,5.5,3.0,66,6,0.7,3,5,1,1,0.9,29,13,2.9,0.5,1.5,Social Media,9,4.6,10.0
2409,Teresa Beard,15,Female,Grayport,11th,4.4,8.0,59,2,1.6,2,1,10,1,1.0,32,18,3.6,0.0,1.0,Social Media,2,5.3,8.2
970,Andrew Bray,13,Female,Mahoneyland,10th,4.2,6.3,90,8,2.6,9,4,5,0,0.4,59,8,1.8,0.0,1.8,Social Media,10,10.8,5.6
2991,Lauren Ballard,13,Female,East John,10th,2.8,5.6,92,4,1.1,7,10,7,1,1.1,77,10,3.7,3.4,0.7,Social Media,5,7.1,10.0
820,Miguel Williams,13,Male,East Brianstad,9th,5.9,8.1,65,8,0.3,5,10,1,1,1.8,140,17,2.3,3.2,0.5,Education,1,7.5,10.0
2717,Christopher Cox,16,Male,New Joseph,12th,5.3,3.2,74,8,0.8,9,4,4,1,1.1,69,13,1.2,1.1,1.4,Social Media,1,5.7,10.0
2326,Alicia Snyder,16,Male,Scottbury,10th,4.6,7.1,87,7,1.9,8,3,1,1,0.0,57,7,4.3,2.0,1.5,Other,4,5.5,9.9
457,Melanie Villa,13,Male,Anthonyview,9th,5.4,6.2,50,1,1.8,5,7,10,1,0.8,79,13,2.2,0.6,2.3,Other,8,5.1,9.3
463,Alexa Simmons,13,Male,Davishaven,10th,3.8,3.7,78,9,2.0,1,5,9,0,0.3,64,8,1.7,0.9,1.2,Education,6,9.6,7.4
2345,Bryan Mcdonald,19,Female,South Zachary,11th,4.5,5.5,61,9,1.4,7,3,4,0,1.4,125,14,2.8,1.4,0.0,Other,10,7.2,10.0
2689,Jacob Bryant,15,Female,Smithfurt,9th,6.7,6.5,50,5,1.0,6,4,4,1,1.6,71,10,1.3,1.4,1.6,Other,10,6.0,9.6
382,Morgan Williams,16,Other,South William,7th,4.9,3.3,99,10,1.0,9,1,8,0,1.0,60,9,0.0,1.1,1.1,Other,8,10.6,7.4
1892,Michael Ware,17,Female,New Cynthiafurt,9th,2.6,8.9,72,5,1.5,6,6,6,0,1.4,127,15,3.5,0.5,1.4,Education,1,5.0,7.7
1833,William Saunders,17,Male,South Kellyberg,11th,4.2,6.9,87,9,0.2,9,6,6,1,1.0,117,13,1.3,2.3,1.1,Browsing,10,2.3,9.3
2309,Noah Patterson,18,Female,Lopezberg,11th,2.8,6.3,54,6,1.8,4,8,5,0,0.2,45,10,1.9,1.9,0.0,Other,5,6.8,6.4
1507,Amanda Callahan,13,Female,South Stanley,11th,6.3,6.3,72,1,0.0,7,8,8,1,0.8,38,9,2.9,0.8,0.7,Browsing,7,4.8,9.4
806,Donna Martinez,19,Male,Andrewsmouth,12th,4.5,6.8,85,0,1.7,1,5,7,0,1.1,143,7,2.1,0.7,0.7,Other,4,6.3,8.2
2439,Paula Roy,13,Female,Lindaland,7th,5.6,7.0,67,3,0.5,8,5,9,0,1.3,59,17,0.0,2.3,0.6,Education,3,4.4,9.0
757,Alyssa Davidson,14,Other,Bryanhaven,8th,3.9,6.8,50,10,1.2,2,1,9,0,0.8,115,19,2.3,1.6,1.8,Education,10,3.5,10.0
2516,Jose Avila,16,Male,Robertside,7th,3.2,4.1,97,4,0.8,8,1,5,0,1.2,146,13,2.7,1.7,1.6,Gaming,2,10.7,10.0
1254,Julie Martinez,18,Female,Amandaburgh,11th,5.0,5.3,77,9,1.0,6,6,9,0,1.1,122,15,2.8,0.8,0.9,Gaming,8,7.3,10.0
870,Jeffrey Jordan,19,Male,South Michael,8th,4.5,8.7,100,2,1.9,5,10,5,0,1.0,127,6,2.7,2.4,1.0,Browsing,2,5.5,9.0
2065,Larry Collins,17,Male,Toddberg,8th,4.2,7.0,57,3,0.9,2,9,1,1,0.8,90,7,0.8,2.4,1.8,Education,10,6.0,7.1
1411,Kenneth Brown,16,Female,Bennettville,10th,7.3,6.0,96,4,1.2,4,9,7,1,1.6,118,18,1.6,2.1,1.0,Browsing,5,6.0,10.0
2361,Melissa Williams,18,Male,Port Johnside,7th,1.7,5.9,53,8,0.4,9,10,5,0,1.2,23,10,2.2,1.6,0.1,Education,1,5.2,5.0
2288,Willie Wright,14,Female,Swansonmouth,8th,5.9,7.7,69,3,1.5,4,6,9,0,1.9,126,10,2.9,2.0,1.2,Gaming,9,6.8,10.0
2859,Jaime Barajas,18,Female,West Timothyshire,12th,0.0,7.3,90,3,0.1,10,9,6,1,1.2,34,18,2.1,1.8,0.2,Education,7,9.4,4.5
1174,Casey Sanford,18,Male,Mccoyland,10th,4.8,8.1,56,8,1.5,1,1,2,1,1.3,20,17,2.0,0.1,2.5,Social Media,2,8.5,6.6
543,Patrick Jenkins,18,Other,Lake Rachael,9th,3.4,5.6,93,2,1.7,9,3,7,0,1.0,56,15,3.0,2.1,1.2,Browsing,1,4.8,9.8
2105,Scott Perkins,19,Male,Leslieside,11th,5.4,6.1,62,3,1.1,5,6,1,0,1.5,140,18,1.1,0.9,0.8,Education,7,5.6,10.0
1256,Willie Parker,17,Female,Lake John,8th,7.5,8.0,84,3,0.0,8,1,3,1,1.4,111,12,2.2,0.9,0.7,Other,1,8.5,10.0
1767,Kerri Perez,14,Female,New Ryanchester,11th,5.0,7.0,64,3,1.4,9,7,2,1,1.3,107,9,3.0,0.4,0.5,Education,10,8.1,8.8
1766,Jordan Wilson DVM,17,Female,Marieland,12th,7.0,6.7,91,3,0.4,4,10,7,0,0.0,45,5,2.7,2.2,0.8,Browsing,3,6.1,10.0
1290,Jade Parker,18,Other,Donaldshire,10th,4.3,5.9,62,4,0.6,1,6,3,0,1.9,144,11,0.4,1.8,1.6,Social Media,1,10.2,8.6
2422,Mike Mcgee,18,Male,North Scottfurt,8th,3.1,7.6,62,3,1.6,3,2,3,1,1.2,112,7,0.5,3.1,2.6,Education,1,7.6,6.5
2528,Brian Blackburn,17,Male,West Angela,8th,5.9,9.2,100,6,0.0,4,5,8,0,0.6,44,14,2.8,0.4,0.9,Social Media,1,4.0,8.2
1344,Michelle Dunn,17,Female,Port Sarah,12th,2.3,4.3,56,4,0.2,10,8,6,1,1.0,72,10,2.1,2.1,2.6,Social Media,3,6.1,7.8
1526,Ricardo Hayden,15,Other,Sarahshire,8th,7.7,6.5,64,7,0.1,3,10,7,0,0.2,76,5,2.4,0.3,1.3,Social Media,5,4.5,9.7
2895,Laura Carter,17,Other,Port Tracytown,9th,6.7,5.2,89,2,0.2,8,9,6,1,1.4,76,5,3.7,1.2,0.8,Browsing,8,5.4,10.0
2687,John Gonzalez,19,Other,Lake Tiffany,11th,3.3,6.0,89,6,0.1,3,10,8,0,0.1,124,15,2.4,1.5,0.6,Browsing,2,7.4,9.7
2195,Johnny Bryant,15,Female,West Lisaberg,12th,10.2,7.2,95,1,0.4,2,8,4,0,1.2,53,7,3.5,0.1,0.3,Other,8,5.7,10.0
2421,Samantha Heath,19,Male,South Alison,10th,2.9,7.6,74,0,1.3,10,2,10,0,1.2,48,6,2.8,2.1,0.4,Education,8,3.5,6.2
1678,Jennifer Anderson,18,Male,Duanebury,9th,5.2,7.8,52,6,0.0,10,9,9,1,0.6,84,20,3.5,0.5,0.3,Other,6,4.3,10.0
1287,Scott Wells,13,Other,Maddoxview,7th,3.9,7.8,72,10,1.8,5,7,1,0,1.5,145,20,1.4,1.5,0.6,Browsing,4,10.5,9.8
436,Parker Lopez,17,Male,Laurentown,11th,4.7,8.3,97,6,0.2,3,8,6,0,1.3,119,9,3.0,0.6,1.1,Gaming,9,5.5,8.3
1728,Nicholas Perry,18,Other,West Chris,10th,4.7,5.9,80,10,0.1,2,3,6,0,0.7,141,9,2.7,2.7,1.7,Social Media,3,6.8,10.0
238,Matthew Floyd,13,Male,Katherineport,7th,4.2,7.0,62,6,0.4,8,3,8,0,0.9,68,14,1.8,1.9,1.3,Other,6,4.3,8.6
2348,Laura Giles,15,Female,Thomasview,7th,3.3,5.3,65,7,1.1,6,5,1,0,1.6,142,9,3.3,0.0,0.9,Social Media,9,7.9,8.6
110,Sarah Harrison,15,Other,North Cherylburgh,9th,2.0,5.9,74,5,0.9,2,9,6,0,1.1,47,12,2.0,1.3,1.4,Other,1,4.4,5.7
2275,Andrew West,18,Other,Jenniferhaven,12th,1.6,5.4,82,5,1.8,3,8,7,1,2.0,111,12,1.5,1.2,1.6,Browsing,1,7.3,6.2
164,Joshua Moore,19,Male,Jamieville,11th,6.0,3.1,78,1,1.0,4,4,2,0,0.6,130,6,2.7,1.8,1.6,Browsing,3,10.0,10.0
289,Brandi Harrison,16,Female,West Elizabeth,11th,5.9,5.0,88,10,0.0,1,3,5,0,0.8,112,15,1.8,1.8,2.0,Browsing,5,1.8,10.0
253,Travis Ellis,18,Male,Lake Tonyfort,11th,4.2,6.2,58,4,0.8,6,5,10,1,0.3,90,14,0.6,0.9,0.9,Browsing,2,7.0,7.2
2584,Antonio Brown,15,Female,West Susan,10th,4.5,5.9,62,1,1.5,9,9,3,0,0.9,79,17,3.2,1.2,0.1,Gaming,6,5.9,10.0
1965,Tammy Stewart,16,Other,West Cynthia,7th,3.2,5.2,86,4,2.1,8,3,5,0,1.3,50,13,2.3,0.6,2.4,Education,3,4.4,7.1
1289,Michael Armstrong,13,Male,New Calvinhaven,9th,3.2,7.0,100,3,0.6,5,8,5,1,0.5,35,11,2.2,1.6,0.7,Browsing,1,8.3,6.4
745,Jennifer Wilson,14,Other,Hobbsland,9th,4.9,5.7,95,7,0.0,8,2,2,0,0.8,88,17,3.5,3.1,0.7,Social Media,8,5.4,10.0
1207,Patrick Lopez,19,Other,Perezstad,7th,6.0,6.2,60,3,0.5,10,7,7,0,2.1,75,5,2.3,0.0,1.3,Browsing,7,4.2,7.7
2420,Elizabeth Williams,15,Male,Port Susanberg,8th,7.3,5.6,56,0,0.3,7,10,9,0,0.8,39,9,0.8,1.2,1.9,Education,4,2.6,9.1
1392,Robert Mccoy,18,Male,Emilyland,9th,5.8,6.3,95,7,1.9,1,5,1,0,1.8,123,18,2.8,2.1,0.1,Social Media,9,5.8,10.0
2334,Charlene Myers,16,Other,Lake Michael,7th,5.5,5.6,79,10,2.4,8,8,2,1,0.8,45,12,2.1,2.3,0.0,Education,2,6.4,10.0
991,Annette Rodriguez,15,Other,East Jacquelineland,10th,4.8,5.6,82,3,0.0,9,6,9,1,1.9,106,11,3.4,1.6,0.4,Other,6,6.1,10.0
840,Michael Strickland,15,Male,Jonesborough,12th,5.9,7.4,84,8,0.6,10,2,1,0,1.5,49,12,2.0,1.7,0.2,Education,10,4.1,9.3
1150,Brenda Christensen,15,Female,Port Tannerchester,10th,4.6,6.1,64,1,0.8,2,10,6,0,1.5,123,11,2.3,0.0,1.0,Browsing,3,5.8,8.5
1222,Ronald Wise,13,Other,Emilyfurt,12th,5.3,7.6,76,1,1.0,7,3,9,1,0.5,130,10,1.8,0.0,1.0,Education,9,7.2,7.9
1744,Michael Gomez,16,Male,Tristanborough,7th,7.0,8.1,99,8,0.9,6,5,8,1,1.1,51,5,4.4,1.7,2.9,Social Media,7,9.0,10.0
2401,Lisa Gonzalez,13,Male,Deborahmouth,11th,11.2,8.1,55,1,1.5,4,6,3,1,0.9,34,17,3.6,2.4,0.9,Browsing,5,8.2,10.0
462,John Potts,17,Male,West Maria,7th,6.2,6.5,58,6,0.9,5,3,3,0,0.7,109,18,3.2,2.3,2.0,Education,5,6.1,10.0
1310,Amy Peterson,18,Male,Sheilaborough,12th,4.5,3.0,67,2,3.6,2,5,10,0,0.5,129,8,2.5,1.5,0.4,Other,2,7.2,10.0
1436,James Green DVM,19,Male,Mcintoshview,7th,7.2,6.1,59,7,1.7,6,5,8,1,1.5,88,14,2.2,3.1,0.4,Social Media,4,9.3,10.0
158,Bradley Jones,13,Female,West Kathleen,8th,4.9,5.6,98,8,0.4,4,2,3,1,0.5,121,10,4.1,0.7,1.3,Other,1,6.3,10.0
1912,Jennifer Villa,14,Other,East Anthonyton,7th,3.3,8.2,72,5,1.5,9,8,7,1,0.6,67,15,2.7,2.3,0.7,Social Media,10,4.4,8.5
2360,Melissa Lambert,16,Other,South Jonathanstad,9th,2.2,6.5,65,4,1.1,2,7,10,1,1.3,45,5,1.4,0.5,1.7,Gaming,7,6.2,2.8
678,Joel Roy,17,Male,Dawsonville,12th,4.7,5.5,68,5,0.3,8,1,6,0,1.5,77,8,1.9,1.3,0.0,Social Media,1,5.5,8.3
2849,Tina Chang,13,Other,South Joechester,7th,2.4,7.0,91,8,1.2,1,1,4,0,2.1,108,11,1.9,1.4,0.3,Education,8,7.4,6.6
1873,Kelly Jones,15,Male,Lake Daltonhaven,12th,3.4,6.1,99,8,0.2,10,5,10,0,1.3,85,19,2.0,1.6,0.3,Other,4,4.2,9.4
239,Kelly Vasquez,16,Male,South Dawn,11th,8.4,7.7,99,5,0.4,6,5,4,1,0.3,143,6,2.7,0.8,0.9,Gaming,1,8.1,10.0
2918,Justin Delgado,18,Male,Petersonport,10th,6.7,5.8,90,5,1.5,5,9,8,1,0.8,131,13,3.8,0.0,0.5,Education,3,7.5,10.0
1092,Anna White,18,Other,Kimfort,8th,7.3,5.7,95,8,0.0,9,2,6,0,0.5,91,16,2.1,0.0,0.9,Education,9,7.7,10.0
2871,Melissa Rivera,14,Female,North Jaredberg,9th,5.1,7.4,98,4,1.4,4,9,10,0,1.8,105,8,1.5,1.3,1.9,Education,7,5.0,7.9
101,Christian Perkins,17,Male,East Wendymouth,9th,6.7,8.5,91,4,1.4,8,7,2,0,0.2,49,9,2.1,3.5,1.5,Browsing,8,5.7,10.0
316,Brandon Sanchez,18,Male,South Raymondmouth,9th,6.2,6.9,67,2,0.3,8,9,2,1,1.1,122,16,2.3,1.4,1.9,Education,6,4.7,10.0
1024,Diana Armstrong,17,Female,East Tiffanychester,10th,3.0,6.2,73,8,0.0,1,9,9,1,0.7,142,5,1.8,1.5,0.9,Social Media,10,7.9,7.0
2747,Miranda Lee,15,Male,North Henryfort,7th,11.0,8.1,75,8,0.3,8,7,8,1,0.3,139,19,3.2,4.0,1.2,Social Media,5,4.1,10.0
768,Casey West,16,Male,Pageville,8th,6.5,8.0,85,8,0.8,2,5,4,0,1.0,135,13,5.0,1.8,0.6,Browsing,2,7.5,10.0
1345,William Morrow,17,Male,Bellmouth,8th,7.0,5.7,52,4,2.0,10,1,7,1,1.2,30,19,1.8,2.4,1.3,Browsing,3,9.1,10.0
262,Robert Morrow,19,Female,Garymouth,11th,6.6,6.9,83,8,0.0,4,8,3,1,1.2,40,10,3.4,1.8,1.4,Browsing,8,1.6,10.0
1452,William Mendoza,13,Female,Mccannshire,7th,5.0,8.6,81,9,0.8,9,9,2,1,0.1,97,11,1.8,1.4,0.4,Other,10,4.7,8.0
2835,Ryan Richards,14,Male,Erikastad,7th,6.3,6.5,81,8,1.1,4,4,8,1,0.9,140,6,2.8,1.8,0.6,Education,5,9.5,10.0
196,Kendra Everett,15,Male,Jacksonborough,9th,5.4,6.9,57,10,0.6,9,3,9,0,1.2,45,5,0.2,1.2,1.2,Education,3,5.9,5.3
1776,Katherine Williams,18,Male,New Joseph,7th,4.9,7.7,85,8,0.6,4,6,5,1,2.5,55,10,2.9,0.9,1.8,Browsing,1,6.1,8.0
2842,Amanda Lee,19,Male,Richardsonberg,10th,4.4,7.1,74,1,0.8,3,9,2,0,1.7,54,11,2.7,1.6,1.7,Other,10,6.3,8.4
1736,Ashlee Haley,16,Other,Christinaview,12th,8.0,7.5,83,0,0.0,8,7,4,1,1.2,131,7,3.9,0.2,1.2,Education,3,9.4,10.0
180,Anthony Andrews,17,Other,Banksshire,8th,4.1,7.2,57,10,0.9,3,10,1,0,1.4,145,10,1.5,1.7,0.7,Gaming,7,6.7,8.6
2923,William Campos,17,Male,North Matthewborough,9th,4.7,3.9,62,2,0.4,8,1,6,1,0.2,62,18,3.7,1.9,0.8,Other,9,4.6,10.0
341,Chloe Moore,16,Other,New Ashley,7th,5.3,8.5,99,5,0.5,5,3,9,0,0.7,85,15,2.6,0.7,1.1,Browsing,5,2.0,9.0
1100,Kathryn Barber,13,Male,Lake Lisaville,12th,3.9,6.2,83,10,0.1,3,3,10,1,0.9,93,5,1.5,1.5,0.4,Browsing,4,7.4,6.7
1544,Dana Koch,18,Male,Jenniferton,11th,3.8,4.2,95,2,0.0,2,8,2,0,1.1,24,5,3.5,1.5,0.3,Education,5,8.8,8.2
749,Shannon Evans,18,Female,Spencerland,10th,3.9,5.8,73,9,1.5,3,4,3,1,1.5,103,11,1.6,0.7,0.3,Browsing,5,5.0,7.6
2756,Michael Diaz,18,Male,Samanthaborough,9th,2.6,8.8,55,8,0.9,5,9,4,1,0.3,132,14,2.1,2.3,2.1,Browsing,6,3.9,8.0
663,Edward Gilbert,17,Male,Diazberg,10th,8.4,9.3,84,7,1.0,8,3,2,1,1.6,28,7,2.0,1.2,1.0,Social Media,8,5.0,8.9
481,Troy Flores,16,Male,Lake Erikabury,8th,5.2,7.6,76,9,0.8,9,1,6,1,1.3,147,14,3.2,0.9,1.4,Gaming,1,7.9,10.0
2139,Eric Nguyen,16,Other,New Sethshire,10th,4.8,6.1,79,6,1.3,7,10,2,1,1.1,78,8,2.2,1.9,0.1,Other,4,5.6,9.0
872,Debbie Walters,18,Male,Thomasville,12th,5.4,9.2,57,0,1.6,3,5,3,0,0.1,66,14,1.7,0.1,1.1,Gaming,6,8.9,6.7
1454,Jacqueline Nichols,19,Female,Olsonshire,9th,7.4,4.9,75,7,1.0,5,7,5,1,0.9,141,6,2.5,3.1,0.4,Gaming,9,5.0,10.0
